nome_curso;sexo;count_sexo;count_total;Porcentagem (%)
MESTRADO PROFISSIONAL EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS;M;13;33;39.39
MESTRADO PROFISSIONAL EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS;F;20;33;60.61
MESTRADO PROFISSIONAL EM LETRAS;M;7;26;26.92
MESTRADO PROFISSIONAL EM LETRAS;F;19;26;73.08
MESTRADO PROFISSIONAL EM MATEMÁTICA EM REDE NACIONAL;M;17;20;85.0
MESTRADO PROFISSIONAL EM MATEMÁTICA EM REDE NACIONAL;F;3;20;15.0
MESTRADO PROFISSIONAL EM PRÁTICAS DE SAÚDE E EDUCAÇÃO;F;12;15;80.0
MESTRADO PROFISSIONAL EM PRÁTICAS DE SAÚDE E EDUCAÇÃO;M;3;15;20.0
MESTRADO PROFISSIONAL EM QUÍMICA - PROFQUI;M;10;12;83.33
MESTRADO PROFISSIONAL EM QUÍMICA - PROFQUI;F;2;12;16.67
MESTRADO PROFISSIONAL EM TECNOLOGIA DA INFORMAÇÃO;M;8;8;100.0
METEOROLOGIA;F;25;48;52.08
METEOROLOGIA;M;23;48;47.92
MÚSICA;M;26;37;70.27
MÚSICA;F;11;37;29.73
NEUROPSICOLOGIA CLÍNICA;F;34;46;73.91
NEUROPSICOLOGIA CLÍNICA;M;12;46;26.09
NUTRIÇÃO;M;37;133;27.82
NUTRIÇÃO;F;96;133;72.18
ODONTOLOGIA;F;45;87;51.72
ODONTOLOGIA;M;42;87;48.28
PEDAGOGIA;M;37;274;13.5
PEDAGOGIA;F;237;274;86.5
PROGRAMA DE RESIDÊNCIA EM ATENÇÃO PSICOSSOCIAL;F;3;3;100.0
PROGRAMA DE RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA;F;7;16;43.75
PROGRAMA DE RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA;M;9;16;56.25
PROGRAMA DE RESIDÊNCIA MÉDICA EM MEDICINA DA FAMÍLIA E COMUNIDADE;F;2;5;40.0
PROGRAMA DE RESIDÊNCIA MÉDICA EM MEDICINA DA FAMÍLIA E COMUNIDADE;M;3;5;60.0
PROGRAMA DE RESIDÊNCIA MÉDICA EM PEDIATRIA;F;6;6;100.0
PROGRAMA DE RESIDÊNCIA MÉDICA EM REUMATOLOGIA/RESREUM/HUOL;M;1;1;100.0
PSICOLOGIA;F;65;95;68.42
PSICOLOGIA;M;30;95;31.58
QUÍMICA;M;61;138;44.2
QUÍMICA;F;77;138;55.8
QUÍMICA DO PETRÓLEO;M;14;29;48.28
QUÍMICA DO PETRÓLEO;F;15;29;51.72
RESIDENCIA EM ANESTESIOLOGIA/RESANES/HUAB;M;3;3;100.0
RESIDÊNCIA ALUNOS ESPECIAIS PPG;M;2;6;33.33
RESIDÊNCIA ALUNOS ESPECIAIS PPG;F;4;6;66.67
RESIDÊNCIA EM ASSISTÊNCIA MATERNO-INFANTIL;F;12;14;85.71
RESIDÊNCIA EM ASSISTÊNCIA MATERNO-INFANTIL;M;2;14;14.29
RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM;M;12;41;29.27
RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM;F;29;41;70.73
RESIDÊNCIA EM ATENÇÃO À SAÚDE DA CRIANÇA;F;12;13;92.31
RESIDÊNCIA EM ATENÇÃO À SAÚDE DA CRIANÇA;M;1;13;7.69
RESIDÊNCIA EM CARDIOLOGIA/RESCARD/HUOL;M;4;7;57.14
RESIDÊNCIA EM CARDIOLOGIA/RESCARD/HUOL;F;3;7;42.86
RESIDÊNCIA EM CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;F;1;2;50.0
RESIDÊNCIA EM CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;M;1;2;50.0
RESIDÊNCIA EM SAÚDE MATERNO-INFANTIL/RESSMI/EMCM;F;12;12;100.0
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO;M;12;12;100.0
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - JFRN;F;4;13;30.77
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - JFRN;M;9;13;69.23
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - TCE/RN;M;8;14;57.14
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - TCE/RN;F;6;14;42.86
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - TCMRJ/IMD;M;9;10;90.0
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - TCMRJ/IMD;F;1;10;10.0
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - TRE/RN - TURMA 3;M;11;12;91.67
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO - TRE/RN - TURMA 3;F;1;12;8.33
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO NA ÁREA DA SAÚDE PARA A LIGA CONTRA O CÂN;M;22;24;91.67
RESIDÊNCIA EM TECNOLOGIA DA INFORMAÇÃO NA ÁREA DA SAÚDE PARA A LIGA CONTRA O CÂN;F;2;24;8.33
RESIDÊNCIA EM TERAPIA INTENSIVA ADULTO;F;12;14;85.71
RESIDÊNCIA EM TERAPIA INTENSIVA ADULTO;M;2;14;14.29
RESIDÊNCIA EM TERAPIA INTENSIVA NEONATAL;F;14;14;100.0
RESIDÊNCIA JUDICIAL (MÓDULO R1);M;35;54;64.81
RESIDÊNCIA JUDICIAL (MÓDULO R1);F;19;54;35.19
RESIDÊNCIA MÉDICA EM ANESTESIOLOGIA;M;3;4;75.0
RESIDÊNCIA MÉDICA EM ANESTESIOLOGIA;F;1;4;25.0
RESIDÊNCIA MÉDICA EM CARDIOLOGIA;F;2;3;66.67
RESIDÊNCIA MÉDICA EM CARDIOLOGIA;M;1;3;33.33
RESIDÊNCIA MÉDICA EM CIRURGIA GERAL/RESCIRG/EMCM;F;2;3;66.67
RESIDÊNCIA MÉDICA EM CIRURGIA GERAL/RESCIRG/EMCM;M;1;3;33.33
RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA/RESCLMED/EMCM;F;1;3;33.33
RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA/RESCLMED/EMCM;M;2;3;66.67
RESIDÊNCIA MÉDICA EM DERMATOLOGIA;M;2;2;100.0
RESIDÊNCIA MÉDICA EM ECOCARDIOGRAFIA;F;2;2;100.0
RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA;F;2;2;100.0
RESIDÊNCIA MÉDICA EM ENDOSCOPIA GINECOLÓGICA;F;1;1;100.0
RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA;F;1;2;50.0
RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA;M;1;2;50.0
RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA;F;9;13;69.23
RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA;M;4;13;30.77
RESIDÊNCIA MÉDICA EM INFECTOLOGIA;M;1;2;50.0
RESIDÊNCIA MÉDICA EM INFECTOLOGIA;F;1;2;50.0
RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE;F;7;13;53.85
RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE;M;6;13;46.15
RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE/RESMMFC/EMCM;M;10;12;83.33
RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE/RESMMFC/EMCM;F;2;12;16.67
RESIDÊNCIA MÉDICA EM MEDICINA INTENSIVA;F;2;2;100.0
RESIDÊNCIA MÉDICA EM NEFROLOGIA;M;1;2;50.0
RESIDÊNCIA MÉDICA EM NEFROLOGIA;F;1;2;50.0
RESIDÊNCIA MÉDICA EM NEONATOLOGIA;F;4;5;80.0
RESIDÊNCIA MÉDICA EM NEONATOLOGIA;M;1;5;20.0
RESIDÊNCIA MÉDICA EM NEUROLOGIA;M;1;2;50.0
RESIDÊNCIA MÉDICA EM NEUROLOGIA;F;1;2;50.0
RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA;M;1;2;50.0
RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA;F;1;2;50.0
RESIDÊNCIA MÉDICA EM PATOLOGIA;F;3;4;75.0
RESIDÊNCIA MÉDICA EM PATOLOGIA;M;1;4;25.0
RESIDÊNCIA MÉDICA EM PSIQUIATRIA;M;3;4;75.0
RESIDÊNCIA MÉDICA EM PSIQUIATRIA;F;1;4;25.0
RESIDÊNCIA MÉDICA EM RADIOLOGIA;F;2;4;50.0
RESIDÊNCIA MÉDICA EM RADIOLOGIA;M;2;4;50.0
RESIDÊNCIA MÉDICA EM UROLOGIA;M;2;2;100.0
SAÚDE COLETIVA;F;39;56;69.64
SAÚDE COLETIVA;M;17;56;30.36
SERVIÇO SOCIAL;M;15;107;14.02
SERVIÇO SOCIAL;F;92;107;85.98
SISTEMAS DE INFORMAÇÃO;M;46;52;88.46
SISTEMAS DE INFORMAÇÃO;F;6;52;11.54
TEATRO;F;18;41;43.9
TEATRO;M;23;41;56.1
TECNICO EM AGROINDUSTRIA CORRESPONDENTE AO ENSINO MEDIO;F;19;29;65.52
TECNICO EM AGROINDUSTRIA CORRESPONDENTE AO ENSINO MEDIO;M;10;29;34.48
TECNICO EM AGROINDUSTRIA SUBSEQUENTE;F;22;43;51.16
TECNICO EM AGROINDUSTRIA SUBSEQUENTE;M;21;43;48.84
TECNICO EM AGROPECUARIA SUBSEQUENTE;M;28;64;43.75
TECNICO EM AGROPECUARIA SUBSEQUENTE;F;36;64;56.25
TECNICO EM AGROPECUÁRIA CORRESPONDENTE AO ENSINO MÉDIO;F;19;35;54.29
TECNICO EM AGROPECUÁRIA CORRESPONDENTE AO ENSINO MÉDIO;M;16;35;45.71
TECNICO EM AQUICULTURA SUBSEQUENTE;M;28;53;52.83
TECNICO EM AQUICULTURA SUBSEQUENTE;F;25;53;47.17
TECNICO EM INFORMATICA CORRESPONDENTE AO ENSINO MEDIO;M;19;34;55.88
TECNICO EM INFORMATICA CORRESPONDENTE AO ENSINO MEDIO;F;15;34;44.12
TECNOLOGIA DA INFORMAÇÃO;M;289;337;85.76
TECNOLOGIA DA INFORMAÇÃO;F;48;337;14.24
TECNOLOGIA DA INFORMAÇÃO - SECRETARIA DE ESTADO DA ADMINISTRAÇÃO DO RN;F;2;20;10.0
TECNOLOGIA DA INFORMAÇÃO - SECRETARIA DE ESTADO DA ADMINISTRAÇÃO DO RN;M;18;20;90.0
TURISMO;M;39;130;30.0
TURISMO;F;91;130;70.0
TÉCNICO DE MÚSICA (CANTO);F;7;9;77.78
TÉCNICO DE MÚSICA (CANTO);M;2;9;22.22
TÉCNICO DE MÚSICA (INSTRUMENTO);M;39;58;67.24
TÉCNICO DE MÚSICA (INSTRUMENTO);F;19;58;32.76
TÉCNICO DE MÚSICA (PROCESSOS FONOGRÁFICOS);M;7;7;100.0
TÉCNICO DE MÚSICA (REGÊNCIA);M;7;7;100.0
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;F;44;48;91.67
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;M;4;48;8.33
TÉCNICO EM AQUICULTURA CORRESPONDENTE AO ENSINO MÉDIO;M;16;34;47.06
TÉCNICO EM AQUICULTURA CORRESPONDENTE AO ENSINO MÉDIO;F;18;34;52.94
TÉCNICO EM GASTRONOMIA SUBSEQUENTE;F;39;61;63.93
TÉCNICO EM GASTRONOMIA SUBSEQUENTE;M;22;61;36.07
ZOOTECNIA;M;19;45;42.22
ZOOTECNIA;F;26;45;57.78
